KP1: 401.00; KP2: 0.00; KP3: 33.00
KP1: 432.00; KP2: 0.00; KP3: 115.00
KP1: 310.00; KP2: 0.00; KP3: 160.00
KP1: 335.00; KP2: 0.00; KP3: 200.00
KP1: 396.00; KP2: 0.00; KP3: 132.00
KP1: 318.00; KP2: 0.00; KP3: 15.00
KP1: 235.00; KP2: 0.00; KP3: 58.00
KP1: 301.00; KP2: 0.00; KP3: 124.00
KP1: 343.00; KP2: 0.00; KP3: 161.00
KP1: 274.00; KP2: 0.00; KP3: 182.00
KP1: 270.00; KP2: 0.00; KP3: 132.00
KP1: 333.00; KP2: 0.00; KP3: 73.00
KP1: 338.00; KP2: 0.00; KP3: 73.00
KP1: 316.00; KP2: 0.00; KP3: 125.00
KP1: 417.00; KP2: 0.00; KP3: 170.00
KP1: 352.00; KP2: 0.00; KP3: 213.00
KP1: 228.00; KP2: 0.00; KP3: 159.00
KP1: 358.00; KP2: 0.00; KP3: 4.00
KP1: 461.00; KP2: 0.00; KP3: -3.00
KP1: 348.00; KP2: 0.00; KP3: 68.00
KP1: 184.00; KP2: 0.00; KP3: 117.00
KP1: 193.00; KP2: 0.00; KP3: 153.00
KP1: 334.00; KP2: 0.00; KP3: 172.00
KP1: 442.00; KP2: 0.00; KP3: 145.00
KP1: 295.00; KP2: 0.00; KP3: 98.00
KP1: 163.00; KP2: 0.00; KP3: 54.00
KP1: 297.00; KP2: 0.00; KP3: 102.00
KP1: 405.00; KP2: 0.00; KP3: 142.00
KP1: 371.00; KP2: 0.00; KP3: 193.00
KP1: 270.00; KP2: 0.00; KP3: 206.00
KP1: 326.00; KP2: 0.00; KP3: 116.00
KP1: 330.00; KP2: 0.00; KP3: 63.00
KP1: 307.00; KP2: 0.00; KP3: 97.00
KP1: 386.00; KP2: 0.00; KP3: 145.00
KP1: 393.00; KP2: 0.00; KP3: 197.00
KP1: 316.00; KP2: 0.00; KP3: 188.00
KP1: 292.00; KP2: 0.00; KP3: 90.00
KP1: 349.00; KP2: 0.00; KP3: 69.00
KP1: 310.00; KP2: 0.00; KP3: 121.00
KP1: 255.00; KP2: 0.00; KP3: 158.00
KP1: 345.00; KP2: 0.00; KP3: 176.00
KP1: 395.00; KP2: 0.00; KP3: 156.00
KP1: 343.00; KP2: 0.00; KP3: 90.00
KP1: 365.00; KP2: 0.00; KP3: 79.00
KP1: 337.00; KP2: 0.00; KP3: 106.00
KP1: 290.00; KP2: 0.00; KP3: 158.00
KP1: 375.00; KP2: 0.00; KP3: 192.00
KP1: 376.00; KP2: 0.00; KP3: 150.00
KP1: 283.00; KP2: 0.00; KP3: 52.00
KP1: 296.00; KP2: 0.00; KP3: 43.00
KP1: 350.00; KP2: 0.00; KP3: 98.00
