th3 0.37; d_4 0.90 
th3 0.37; d_4 0.91 
th3 0.37; d_4 0.93 
th3 0.37; d_4 0.93 
th3 0.37; d_4 0.92 
th3 0.38; d_4 0.92 
th3 0.38; d_4 0.93 
th3 0.38; d_4 0.94 
th3 0.38; d_4 0.95 
th3 0.38; d_4 0.94 
th3 0.38; d_4 0.95 
th3 0.38; d_4 0.95 
th3 0.39; d_4 0.96 
th3 0.39; d_4 0.96 
th3 0.39; d_4 0.96 
th3 0.39; d_4 0.97 
th3 0.39; d_4 0.97 
th3 0.39; d_4 0.98 
th3 0.39; d_4 0.99 
th3 0.39; d_4 0.98 
th3 0.40; d_4 0.98 
th3 0.40; d_4 0.99 
th3 0.40; d_4 1.00 
th3 0.40; d_4 1.00 
th3 0.40; d_4 1.00 
th3 0.40; d_4 1.00 
th3 0.40; d_4 1.01 
th3 0.40; d_4 1.02 
th3 0.41; d_4 1.02 
th3 0.41; d_4 1.02 
th3 0.41; d_4 1.02 
th3 0.41; d_4 1.03 
th3 0.41; d_4 1.04 
th3 0.41; d_4 1.04 
th3 0.41; d_4 1.04 
th3 0.42; d_4 1.04 
th3 0.42; d_4 1.04 
th3 0.42; d_4 1.05 
th3 0.42; d_4 1.06 
th3 0.42; d_4 1.06 
th3 0.42; d_4 1.06 
th3 0.42; d_4 1.06 
th3 0.42; d_4 1.07 
th3 0.42; d_4 1.07 
th3 0.42; d_4 1.07 
th3 0.43; d_4 1.08 
th3 0.43; d_4 1.08 
th3 0.43; d_4 1.09 
th3 0.43; d_4 1.09 
th3 0.43; d_4 1.09 
th3 0.43; d_4 1.09 
th3 0.43; d_4 1.10 
th3 0.44; d_4 1.11 
th3 0.44; d_4 1.12 
th3 0.44; d_4 1.11 
th3 0.44; d_4 1.11 
th3 0.44; d_4 1.11 
th3 0.44; d_4 1.12 
th3 0.44; d_4 1.13 
th3 0.45; d_4 1.13 
th3 0.45; d_4 1.13 
th3 0.45; d_4 1.13 
th3 0.45; d_4 1.13 
th3 0.45; d_4 1.14 
th3 0.45; d_4 1.15 
th3 0.45; d_4 1.15 
th3 0.46; d_4 1.15 
th3 0.46; d_4 1.15 
th3 0.46; d_4 1.15 
th3 0.46; d_4 1.16 
th3 0.46; d_4 1.17 
th3 0.46; d_4 1.17 
th3 0.47; d_4 1.17 
th3 0.47; d_4 1.17 
th3 0.47; d_4 1.17 
th3 0.47; d_4 1.18 
th3 0.47; d_4 1.19 
th3 0.47; d_4 1.19 
th3 0.47; d_4 1.19 
th3 0.47; d_4 1.19 
th3 0.48; d_4 1.19 
th3 0.48; d_4 1.20 
th3 0.48; d_4 1.21 
th3 0.48; d_4 1.20 
th3 0.48; d_4 1.20 
th3 0.48; d_4 1.21 
th3 0.48; d_4 1.22 
th3 0.49; d_4 1.22 
th3 0.49; d_4 1.22 
th3 0.49; d_4 1.22 
th3 0.49; d_4 1.23 
th3 0.49; d_4 1.23 
th3 0.49; d_4 1.23 
th3 0.49; d_4 1.23 
th3 0.50; d_4 1.24 
th3 0.50; d_4 1.24 
th3 0.50; d_4 1.25 
th3 0.50; d_4 1.25 
th3 0.50; d_4 1.25 
th3 0.50; d_4 1.25 
th3 0.50; d_4 1.26 
th3 0.50; d_4 1.26 
th3 0.51; d_4 1.26 
th3 0.51; d_4 1.26 
th3 0.51; d_4 1.27 
th3 0.51; d_4 1.27 
th3 0.51; d_4 1.28 
th3 0.51; d_4 1.28 
th3 0.52; d_4 1.28 
th3 0.52; d_4 1.28 
th3 0.51; d_4 1.28 
th3 0.51; d_4 1.29 
th3 0.52; d_4 1.29 
th3 0.52; d_4 1.30 
th3 0.52; d_4 1.30 
th3 0.52; d_4 1.30 
th3 0.52; d_4 1.30 
th3 0.52; d_4 1.30 
th3 0.52; d_4 1.31 
th3 0.53; d_4 1.31 
th3 0.53; d_4 1.31 
th3 0.53; d_4 1.31 
th3 0.53; d_4 1.32 
th3 0.53; d_4 1.32 
th3 0.53; d_4 1.33 
th3 0.53; d_4 1.33 
th3 0.54; d_4 1.33 
th3 0.54; d_4 1.33 
th3 0.54; d_4 1.34 
th3 0.54; d_4 1.34 
th3 0.54; d_4 1.34 
th3 0.54; d_4 1.34 
th3 0.54; d_4 1.34 
th3 0.55; d_4 1.34 
th3 0.55; d_4 1.35 
th3 0.55; d_4 1.35 
th3 0.55; d_4 1.36 
th3 0.55; d_4 1.36 
th3 0.55; d_4 1.36 
th3 0.55; d_4 1.36 
